,id,ball,over,runs,shortText,text,preText,postText,isWide,isNoball,isRetiredHurt,isBoundary,currentBatsmen,currentBowlers,ballTimestamp,currentInning.id,currentInning.balls,currentInning.runs,currentInning.wickets,currentInning.team.name,currentInning.team.shortName,matchOver.maiden,matchOver.runs,matchOver.wickets,matchOver.totalRuns,matchOver.totalWicket,matchOver.runRate,matchOver.requiredRunRate,matchOver.batsmen,matchOver.bowlers,matchOver.teamShortName,matchOver.remainingOvers,matchOver.remainingBalls,matchOver.remainingRuns,matchWicket.id,matchWicket.batsmanName,matchWicket.bowlerName,matchWicket.batsmanRuns,matchWicket.batsmanBalls,matchWicket.text
24,110,1,0,0,"Kumar to Mohammad Rizwan, no run","hung outside off on a good length, Rizwan shoulders arms. Only a hint of swing. 79mph/126kph to start","<p>It'll be Bhuvneshwar Kumar to take the new ball. Can he light this contest up like Shaheen Afridi did in Dubai last year? Two slips in place. Here we go!</p><p>Rohit leads India's huddle on the outfield. Babar and Rizwan wait pitch-side. Pakistan have been a brilliant chasing team over the last two years but can they post a defendable total after being inserted?</p><p><b>6.55pm:</b> The MCG is rammed. Flags waving in every stand, not a spare seat in the house. The players walk out through the tunnel, and line up for the anthems. Rohit Sharma looks almost overwhelmed by the noise as India's draws to an end. </p><p>Zak: ""To break up the millions of Indian/Pakistani comments, as an Aussie, I just got goosebumps with the anthems just now. What a moment that was. Feels like the final all ready!""</p><p>Shahzad: ""Will have to follow the game while ""working"" in the office. Alt Tab to the rescue."" -- You won't be alone in that.</p><p><b>6.45pm:</b> Thanks, KK. The build-up is nearly over, and the biggest game in cricket at the biggest stadium in Australia is only 15 minutes away. Let me know your thoughts on the teams: surprised that Yuzvendra Chahal has been left out?</p><p>Rajesh: ""I would have thought this would be the ideal match for Pant. Disrupt the Shadab, Nawaz combination against a completely right hand top order""</p><p>Sabith: ""This is not the biggest game. The biggest game will be India vs Pakistan final at the very same venue next month :p""</p><p>Datta: ""Rohit Sharma found a Pep Guardiola. A very left field selection. Will haunt then back""</p><p>Adarsh: ""Interesting that Shami couldn't find a place in the original squad, and was brought in as a replacement for Bumrah. And he finds a place in the starting XI ahead of Harshal Patel. This points to some inconsistencies in the selection process.""</p><p><B>Alex Malcolm at the MCG:</b> ""It's very rare to have a T20 game at the MCG this early in the Australian summer. Normally there is only first-class cricket played here at this time of year. Last year this pitch had a lot of spice in it in November and December in red ball cricket, particularly when curator Matt Page left plenty of grass on it. Traditionally white ball pitches at the MCG don't have much grass for the BBL in January. This has a decent covering. It will be intriguing to see if there is swing, seam and bounce for India first up.""</p><p><b>Gaurav Sundararaman</b> points out that <a href=""https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;filter=advanced;opposition=6;opposition=7;orderby=start;result=1;team=6;team=7;template=results;type=team;view=results"">chasing has been the way to go</a> in India-Pakistan T20Is. The team batting first has not won one since 2012; the chasing team has won the last six.</p><p><b>6.35pm</b> Here are the teams.</p><p><b>Pakistan</b>: 1 Mohammad Rizwan, 2 Babar Azam, 3 Shan Masood, 4 Shadab Khan, 5 Haider Ali, 6 Iftikhar Ahmed, 7 Mohammad Nawaz, 8 Asif Ali, 9 Shaheen Shah Afridi, 10 Naseem Shah, 11 Haris Rauf.</p><p><b>India</b> 1 Rohit Sharma, 2 KL Rahul, 3 Virat Kohli, 4 Suryakumar Yadav, 5 Hardik Pandya, 6 Dinesh Karthik, 7 Axar Patel, 8 R Ashwin, 9 Mohammed Shami, 10 Bhuvneshwar Kumar, 11 Arshdeep Singh.</p><p>Interesting selection from India. Shami and Ashwin in, Harshal and Chahal out. The rest is along expected lines. Ashwin's selection suggests two things - India are aware of the possibility of Nawaz floating up the order, and are aiming to disrupt this. And they also know that Babar and Rizwan don't really attack offspin that much. And also, Ashwin isn't just an offspinner. Against right-handers, his stock balls come out of the front of the hand - the carrom ball and the reverse carrom ball, and his record against RHBs is top-notch.</p><p>Pakistan had a difficult choice to make, to pick three seamers out of the five superb ones they have. They've gone with Shaheeh Shah Afridi, Haris Rauf and Naseem Shah.</p><p>With those observations, I'll take a little break, and welcome Matt Roller into the commentary pod.</p><p><b>6.30pm</b> Rohit tosses, Babar calls tails, and it's heads. <b>India will bowl first</b>. </p><p>""Looks like a good pitch, a bit of grass, and it's a little overcast, so the ball might swing around a little bit, so we'll try and use that to our advantage,"" Rohit says. ""Very much sorted with our preparation now. It's time to come out and enjoy ourselves.""</p><p>Team composition: ""Seven batters, an allrounder, three seamers, two spinners."" Rohit doesn't say who will fill those roles. And it adds up to 12.</p><p>Babar smartly takes the cue from Rohit. ""Three fast bowlers, two spinners, and the rest are batsmen."" </p><p><b>6.25pm</b> Around 20 minutes ago (it's gotten a little cloudier since):</p>
<div class=""embedded-media-card"" data-id=""1101"" data-source=""twitter"" data-url=""https://twitter.com/ESPNcricinfo/status/1584079382791888897""></div>
<p><b>6.20pm</b> What does the pitch look like? According to Michael Clarke, it's an ""absolute beauty"". A bit of green grass on top, and it's ""rock hard"". ""A beautiful batting pitch once you get in, get past that new ball."" He suggests that the captain winning the toss bat first. Interesting.</p><p>Jiten Chandaran: ""It looks like Ashwin is playing, so that means they have some batting at 8, which allows Shami to come in for Harshal. I expect now.""</p><p>Fiaz Laghari: ""A while ago, we friends left our room to get some breakfast and everyone out here on the roads seems to be in a great rush. It's like a storm is coming and people are rushing to some safe place, that is how the excitement level is here in Lahore for Pak-Ind clash. Everyone trying to get their things done before the match starts.""</p><p><b>6.15pm</b> Virat Kohli's just given India's players an animated pep talk. We're also hearing that Mohammed Shami is marking out his run-up. If he plays, it'll be his 18th T20I. Half of them, Sampath Bandarupalli informs me, have come at World Cups. That's quite a stat.</p><p>Adarsh: ""Here's a left-field opinion: India should have Pant open today to create a left-right combination against Shaheen Shah Afridi and hopefully mess with his lines.""</p><p>BW: ""Could this be the most viewed cricinfo commentary of all time? No pressure, Karthik.""</p><p><b>6.05pm</b> Monga is watching India train, and his observations tell him Rishabh Pant probably isn't playing tonight. </p><p>""Pakistan have put up three national flags on their warm-up side of the field,"" Monga adds. ""India zero."" Make of this what you will.</p><p>Syed: ""Dreadful weather here in my town Swindon but terrific news about the weather in Melbourne hopefully to watch a full match without interference."" -- I don't think this has any basis in science, but the more rain there is in every non-Melbourne city in the world, the less the chances of rain in Melbourne. Swindon is doing its bit for cricket!</p><p>Syed Habeeb: ""What is the news about Fakhar Zaman?"" -- He hasn't recovered fully from his knee issue, so <a href=""https://www.espncricinfo.com/story/mens-t20-world-cup-2022-ind-vs-pak-babar-azam-puts-faith-in-middle-order-1341077"">he's not available today</a>.</p><p><b>5.55pm</b> Here are two fantastic pieces on two fantastic Pakistan players: Alex Malcolm chats with the former Melbourne Stars list manager Trent Woodhill <a href=""https://www.espncricinfo.com/story/t20-world-cup-2022-trent-woodhill-haris-rauf-s-four-overs-could-determine-the-outcome-of-india-pakistan-match-1341091"">about Haris Rauf</a>, who'll come into tonight's game with plenty of local knowledge of the conditions. And Danyal Rasool interviews the ebullient and thoughtful Shadab Khan, <a href=""https://www.espncricinfo.com/story/t20-world-cup-2022-ind-vs-pak-shadab-khan-is-pakistans-mr-t20-and-its-working-quite-well-for-him-1341153"">Pakistan's Mr. T20</a>.</p><p><b>If you're in the US, you can watch the game <a href=""https://www.espn.com/watch/player/_/eventCalendarId/100111687/country/us/redirected/true#bucketId=23396"">live on ESPN+</a>.</b></p><p>If any of you collect player cards, autographed bats or other memorabilia from cricket games, you may be interested in their digital versions. This World Cup, the cricket world is meeting the world of digital collectibles. ESPNcricinfo's digital collectibles partners FanCraze are allowing fans to pre-buy iconic moments from each match of the World Cup called the <a href=""https://www.fancraze.com/icc?utm_source=cricinfo&utm_medium=partnership&utm_campaign=2022_10_16_cricinfo_commentary_cotd"">Crictos of the Game</a>. We'll also have a weekly video series here on ESPNcricinfo with our experts picking our favourite moments of the week.</p><p>For the fantasy players and gamers among you, you may want to check out a game from our digital collectibles partners Fan Craze - <a href=""https://www.fancraze.com/icc?utm_source=cricinfo&utm_medium=partnership&utm_campaign=2022_10_16_cricinfo_commentary_cotd"" target=""_blank"">the FanCraze Flash Nets game</a>, where you use digital collectibles to play and earn rewards.</p><p>Mihit: ""Been at MCG since last 1 hour.. what an atmosphere.. best you can ever imagine..No rain forecast till 2am, so very good chance of a full game. Bring it on.. Go India!!!""</p><p>Moazzam: ""Raining in my city Oslo but gooood news from Melbourne ""</p><p>Akhil: ""This is probably first time after 2007 T20 WC that India are not coming into the match as favourites. Though we can't say Pakistan are expected to win, brace yourselves for an exciting match""</p><p><b>5.45pm</b> Shaheen Shah Afridi. Is back. That is all.</p>
<div class=""embedded-media-card"" data-id=""1103"" data-source=""twitter"" data-url=""https://twitter.com/ESPNcricinfo/status/1584067441251930112""></div>
<p>Saurabh: ""I have three work colleagues from Pakistan here in Perth. We share and align almost on everything from food to thoughts, from wishing each other on Diwali and Eid. This is the day when we won't align as it is India vs Pak :P""</p><p>Afeef : ""Hope law of averages doesn't catch up with Suryakumar's good form today""</p><p>Kushal mehta: ""Have slept for an hour at night, driven 500 km non stop, but never felt more energetic than today. Got my adrenaline rushing high. New Indian t20 jersey on, game on! Go India. Seek Revenge for the previous defeat!""</p><p>Sujith: ""Early prediction Rauf gets Rohit, Shaheen gets Virat, Bhuvi gets Rizwan, Arshdeep gets Babar.""</p><p><b>5.40pm</b> In case you haven't noticed already, <a href=""https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/india-vs-pakistan-16th-match-group-2-1298150/live-match-blog"">our Live Blog is up and running</a>. And if it's expert opinions you're after, who better than Anil Kumble and Stephen Fleming <a href=""https://www.espncricinfo.com/video/t20-world-cup-2022-aus-vs-nz-anil-kumble-with-new-zealand-batting-first-ish-sodhis-inclusion-w-1341033"">to set things up</a>?</p><p>Arun Heer: ""Welcome to a clash which is not less than a festival in these two nations playing each other! We're more than 100 members of 'Langley Lions', a cricket team of local players in British Columbia, CANADA, all awake to to watch at 1 AM local time. God will change plans and postpone rain as he has to watch this clash too, agreed??""</p><p>Mustafa Moudi : ""Last 4 results between these 2 sides in T20I (Oldest first) - India Won (T20 WC '16), Pakistan Won (T20 WC '21), India Won (Asia Cup '22 Group Stage) and Pakistan Won (Asia Cup '22 Super 4). Going by the pattern.... IYKWIM !!""</p><p><b>5.30pm</b> Hello, hello. Welcome to ESPNcricinfo's coverage of the latest chapter in the friendliest, most bonhomious (it's officially a word now) rivalry in all cricket. You'll be pleased to know that Melbourne is bathed in bright sunlight at the moment, judging by the images our correspondent Sidharth Monga is sending over. Fans in blue and green are streaming into the 'G as we speak, having squeezed out of the traffic jam encircling the stadium. We're an hour away from the toss, and we really cannot wait.</p><p>Siddharth: ""It's time for the greatest sporting event of the year. Can't wait!!""</p><p>Hamza: ""Hello everyone from Pakistan! Was waiting impatiently for this telecast to get started. Usual stuff, sleepless night. Surely, a contest bewteen quality bowling and batting today. I think India have an edge, they have got quality batting with depth and consistency. Pakistani batters are not reliabale apart from openers. On such difficult batting tracks you need good technic like Indian batsmen. Good luck to both teams.""</p>

<p></p>",,False,False,False,False,"[{'id': '323389', 'name': 'Mohammad Rizwan', 'runs': 0, 'balls': 1}, {'id': '348144', 'name': 'Babar Azam', 'runs': 0, 'balls': 0}]","[{'id': '326016', 'name': 'Bhuvneshwar Kumar', 'overs': 0.1, 'maidens': 0, 'runs': 0, 'wickets': 0}, {'overs': 0, 'maidens': 0, 'runs': 0, 'wickets': 0}]",1666512070000,244921,1,0,0,Pakistan,PAK,,,,,,,,,,,,,,,,,,,
23,120,2,0,0,"Kumar to Mohammad Rizwan, no run","tighter line, and the extra bounce is enough for the length ball to <strong>ping Rizwan on his right glove</strong>. He flinches, and is in some pain. Good length, good carry, and Rizwan was beaten by the bounce as he looked to nudge into the leg side",,<p>Rizwan is fine to continue after some treatment.</p>,False,False,False,False,"[{'id': '323389', 'name': 'Mohammad Rizwan', 'runs': 0, 'balls': 2}, {'id': '348144', 'name': 'Babar Azam', 'runs': 0, 'balls': 0}]","[{'id': '326016', 'name': 'Bhuvneshwar Kumar', 'overs': 0.2, 'maidens': 0, 'runs': 0, 'wickets': 0}, {'overs': 0, 'maidens': 0, 'runs': 0, 'wickets': 0}]",1666512104000,244921,2,0,0,Pakistan,PAK,,,,,,,,,,,,,,,,,,,
22,130,3,0,0,"Kumar to Mohammad Rizwan, no run","<b>beaten outside his off stump</b>. Just a hint of swing away from a good length, and Rizwan was looking to steer through the off side with an open face. No foot movement, slightly tentative",,,False,False,False,False,"[{'id': '323389', 'name': 'Mohammad Rizwan', 'runs': 0, 'balls': 3}, {'id': '348144', 'name': 'Babar Azam', 'runs': 0, 'balls': 0}]","[{'id': '326016', 'name': 'Bhuvneshwar Kumar', 'overs': 0.3, 'maidens': 0, 'runs': 0, 'wickets': 0}, {'overs': 0, 'maidens': 0, 'runs': 0, 'wickets': 0}]",1666512207000,244921,3,0,0,Pakistan,PAK,,,,,,,,,,,,,,,,,,,
21,140,4,0,0,"Kumar to Mohammad Rizwan, no run","tight line and length again. Steered into the off side, looking to sneak a quick single to get Pakistan off and running, but Babar sends him back",,,False,False,False,False,"[{'id': '323389', 'name': 'Mohammad Rizwan', 'runs': 0, 'balls': 4}, {'id': '348144', 'name': 'Babar Azam', 'runs': 0, 'balls': 0}]","[{'id': '326016', 'name': 'Bhuvneshwar Kumar', 'overs': 0.4, 'maidens': 0, 'runs': 0, 'wickets': 0}, {'overs': 0, 'maidens': 0, 'runs': 0, 'wickets': 0}]",1666512247000,244921,4,0,0,Pakistan,PAK,,,,,,,,,,,,,,,,,,,
20,150,5,0,0,"Kumar to Mohammad Rizwan, no run","<b>swing and a miss</b>. Wide outswinger, a fraction fuller and hung outside off. No foot movement again from Rizwan, looking to free his arms and crash through the covers, but he's beaten on the outside edge",,,False,False,False,False,"[{'id': '323389', 'name': 'Mohammad Rizwan', 'runs': 0, 'balls': 5}, {'id': '348144', 'name': 'Babar Azam', 'runs': 0, 'balls': 0}]","[{'id': '326016', 'name': 'Bhuvneshwar Kumar', 'overs': 0.5, 'maidens': 0, 'runs': 0, 'wickets': 0}, {'overs': 0, 'maidens': 0, 'runs': 0, 'wickets': 0}]",1666512295000,244921,5,0,0,Pakistan,PAK,,,,,,,,,,,,,,,,,,,
19,160,6,0,1,"Kumar to Mohammad Rizwan, 1 wide","<b>superb from DK</b>. Bhuvi looks for the big, booming inswinger but it flies down the leg side. DK flings himself low to his left at full stretch, and saves a certain boundary",,,True,False,False,False,"[{'id': '323389', 'name': 'Mohammad Rizwan', 'runs': 0, 'balls': 5}, {'id': '348144', 'name': 'Babar Azam', 'runs': 0, 'balls': 0}]","[{'id': '326016', 'name': 'Bhuvneshwar Kumar', 'overs': 0.5, 'maidens': 0, 'runs': 1, 'wickets': 0}, {'overs': 0, 'maidens': 0, 'runs': 0, 'wickets': 0}]",1666512323000,244921,5,1,0,Pakistan,PAK,,,,,,,,,,,,,,,,,,,
18,170,6,0,0,"Kumar to Mohammad Rizwan, no run","length ball, swinging in. Inside-edged into pad",,<p>Great start from Bhuvi.</p>,False,False,False,False,"[{'id': '323389', 'name': 'Mohammad Rizwan', 'runs': 0, 'balls': 6}, {'id': '348144', 'name': 'Babar Azam', 'runs': 0, 'balls': 0}]","[{'id': '326016', 'name': 'Bhuvneshwar Kumar', 'overs': 1, 'maidens': 0, 'runs': 1, 'wickets': 0}, {'overs': 0, 'maidens': 0, 'runs': 0, 'wickets': 0}]",1666512354000,244921,6,1,0,Pakistan,PAK,False,1.0,0.0,1.0,0.0,1.0,0.0,"[{'id': '323389', 'name': 'Mohammad Rizwan', 'runs': 0, 'balls': 6}, {'id': '348144', 'name': 'Babar Azam', 'runs': 0, 'balls': 0}]","[{'id': '326016', 'name': 'Bhuvneshwar Kumar', 'overs': 1, 'maidens': 0, 'runs': 1, 'wickets': 0}, {'overs': 0, 'maidens': 0, 'runs': 0, 'wickets': 0}]",PAK,19.0,114.0,0.0,,,,,,
17,11010,1,1,0,"Arshdeep Singh to Babar Azam, OUT","<b>full, straight, pinned lbw first ball!</b> Erasmus raises the finger but Babar will <b>review</b>. This looked stone dead live. Full, swinging into the pads. Babar was looking to work it away with a roll of the wrists but it skidded into his shin. Was it doing too much to clip leg stump? Ultra-Edge confirms no bat involved. <b>Pitched in line, impact in line, hitting leg stump three-quarters of the way up!</b> Babar trudges off.","<p>Arshdeep will share the new ball. One slip, over the wicket. ""Babar, Babar!"" is the chant.</p>","<p><b>Alex Malcolm at the MCG:</b> ""I was at the MCG when Shane Warne took his 700th Test wicket. The roar when Marais Erasmus just raised his finger was louder than that.""</p><p>Wow. What a huge moment for Arshdeep Singh and for India! The captain goes first-ball and Arshdeep strikes on the biggest stage.</p>",False,False,False,False,"[{'id': '348144', 'name': 'Babar Azam', 'runs': 0, 'balls': 1}, {'id': '323389', 'name': 'Mohammad Rizwan', 'runs': 0, 'balls': 6}]","[{'id': '1125976', 'name': 'Arshdeep Singh', 'overs': 0.1, 'maidens': 0, 'runs': 0, 'wickets': 1}, {'id': '326016', 'name': 'Bhuvneshwar Kumar', 'overs': 1, 'maidens': 0, 'runs': 1, 'wickets': 0}]",1666512552000,244921,7,1,1,Pakistan,PAK,,,,,,,,,,,,,,348144,Babar Azam,Arshdeep Singh,0.0,1.0,Babar Azam lbw b Arshdeep Singh 0 (10m 1b 0x4 0x6) SR: 0.00
16,11020,2,1,0,"Arshdeep Singh to Shan Masood, no run","<b>beaten first up</b>. Perfect seam position, swinging away from the left-hander and past his outside edge as he leans forward to defend",<p>Shan Masood at No. 3. Two slips.</p>,,False,False,False,False,"[{'id': '233901', 'name': 'Shan Masood', 'runs': 0, 'balls': 1}, {'id': '323389', 'name': 'Mohammad Rizwan', 'runs': 0, 'balls': 6}]","[{'id': '1125976', 'name': 'Arshdeep Singh', 'overs': 0.2, 'maidens': 0, 'runs': 0, 'wickets': 1}, {'id': '326016', 'name': 'Bhuvneshwar Kumar', 'overs': 1, 'maidens': 0, 'runs': 1, 'wickets': 0}]",1666512639000,244921,8,1,1,Pakistan,PAK,,,,,,,,,,,,,,,,,,,
15,11030,3,1,0,"Arshdeep Singh to Shan Masood, no run","on a length, nipping into the left-hander's pad before skewing into the leg side","<p>NILAY: ""Finally tit for tat after an year! Our own left arm seamer!!""</p>",,False,False,False,False,"[{'id': '233901', 'name': 'Shan Masood', 'runs': 0, 'balls': 2}, {'id': '323389', 'name': 'Mohammad Rizwan', 'runs': 0, 'balls': 6}]","[{'id': '1125976', 'name': 'Arshdeep Singh', 'overs': 0.3, 'maidens': 0, 'runs': 0, 'wickets': 1}, {'id': '326016', 'name': 'Bhuvneshwar Kumar', 'overs': 1, 'maidens': 0, 'runs': 1, 'wickets': 0}]",1666512682000,244921,9,1,1,Pakistan,PAK,,,,,,,,,,,,,,,,,,,
14,11040,4,1,0,"Arshdeep Singh to Shan Masood, no run","<b>beaten flashing outside off</b>. Tentative shot from Masood, looking to poke away from his body. Arshdeep's outswinger is too good for him. 82mph/132kph",,,False,False,False,False,"[{'id': '233901', 'name': 'Shan Masood', 'runs': 0, 'balls': 3}, {'id': '323389', 'name': 'Mohammad Rizwan', 'runs': 0, 'balls': 6}]","[{'id': '1125976', 'name': 'Arshdeep Singh', 'overs': 0.4, 'maidens': 0, 'runs': 0, 'wickets': 1}, {'id': '326016', 'name': 'Bhuvneshwar Kumar', 'overs': 1, 'maidens': 0, 'runs': 1, 'wickets': 0}]",1666512718000,244921,10,1,1,Pakistan,PAK,,,,,,,,,,,,,,,,,,,
13,11050,5,1,1,"Arshdeep Singh to Shan Masood, 1 run","<b>Masood BBQs himself but Kohli's throw is wide!</b> The adrenaline is pumping on both sides. Masood defends a length ball straight to mid-off and sets off for an impossible single. Kohli, at mid-off, is close to the stumps and underarms from point-blank range, but somehow misses with Masood hardly in the frame!",,,False,False,False,False,"[{'id': '233901', 'name': 'Shan Masood', 'runs': 1, 'balls': 4}, {'id': '323389', 'name': 'Mohammad Rizwan', 'runs': 0, 'balls': 6}]","[{'id': '1125976', 'name': 'Arshdeep Singh', 'overs': 0.5, 'maidens': 0, 'runs': 1, 'wickets': 1}, {'id': '326016', 'name': 'Bhuvneshwar Kumar', 'overs': 1, 'maidens': 0, 'runs': 1, 'wickets': 0}]",1666512777000,244921,11,2,1,Pakistan,PAK,,,,,,,,,,,,,,,,,,,
12,11060,6,1,4,"Arshdeep Singh to Mohammad Rizwan, FOUR","<strong>tickled away fine for the first boundary off the bat</strong>. Arshdeep went full and straight, looking for the magic ball again, but it was slightly overpitched as it tailed in late. Rizwan clips the low full toss away, rolling the wrists and whipping it fine",<p>One slip.</p>,,False,False,False,True,"[{'id': '323389', 'name': 'Mohammad Rizwan', 'runs': 4, 'balls': 7}, {'id': '233901', 'name': 'Shan Masood', 'runs': 1, 'balls': 4}]","[{'id': '1125976', 'name': 'Arshdeep Singh', 'overs': 1, 'maidens': 0, 'runs': 5, 'wickets': 1}, {'id': '326016', 'name': 'Bhuvneshwar Kumar', 'overs': 1, 'maidens': 0, 'runs': 1, 'wickets': 0}]",1666512840000,244921,12,6,1,Pakistan,PAK,False,5.0,1.0,6.0,1.0,3.0,0.0,"[{'id': '323389', 'name': 'Mohammad Rizwan', 'runs': 4, 'balls': 7}, {'id': '233901', 'name': 'Shan Masood', 'runs': 1, 'balls': 4}]","[{'id': '1125976', 'name': 'Arshdeep Singh', 'overs': 1, 'maidens': 0, 'runs': 5, 'wickets': 1}, {'id': '326016', 'name': 'Bhuvneshwar Kumar', 'overs': 1, 'maidens': 0, 'runs': 1, 'wickets': 0}]",PAK,18.0,108.0,0.0,,,,,,
11,12010,1,2,1,"Kumar to Shan Masood, 1 wide","length ball, pushed across him outside his off stump. Masood plays away from his body and can't lay bat on ball",<p>Two slips. Over the wicket</p>,,True,False,False,False,"[{'id': '233901', 'name': 'Shan Masood', 'runs': 1, 'balls': 4}, {'id': '323389', 'name': 'Mohammad Rizwan', 'runs': 4, 'balls': 7}]","[{'id': '326016', 'name': 'Bhuvneshwar Kumar', 'overs': 1, 'maidens': 0, 'runs': 2, 'wickets': 0}, {'id': '1125976', 'name': 'Arshdeep Singh', 'overs': 1, 'maidens': 0, 'runs': 5, 'wickets': 1}]",1666512912000,244921,12,7,1,Pakistan,PAK,,,,,,,,,,,,,,,,,,,
10,12020,1,2,0,"Kumar to Shan Masood, no run","<strong>cuts him in half</strong> but Masood survives. Length ball, swinging back in late. Skewed away to Rahul at first slip who takes a good low chance, but hardly an appeal from India. Clearly struck him high on the thigh after missing the inside edge",,,False,False,False,False,"[{'id': '233901', 'name': 'Shan Masood', 'runs': 1, 'balls': 5}, {'id': '323389', 'name': 'Mohammad Rizwan', 'runs': 4, 'balls': 7}]","[{'id': '326016', 'name': 'Bhuvneshwar Kumar', 'overs': 1.1, 'maidens': 0, 'runs': 2, 'wickets': 0}, {'id': '1125976', 'name': 'Arshdeep Singh', 'overs': 1, 'maidens': 0, 'runs': 5, 'wickets': 1}]",1666512942000,244921,13,7,1,Pakistan,PAK,,,,,,,,,,,,,,,,,,,
9,12030,2,2,0,"Kumar to Shan Masood, no run","<b>strangled appeal for lbw</b> but looked too high. Pitched in line, just short of a good length, and skewed away into the off side",,,False,False,False,False,"[{'id': '233901', 'name': 'Shan Masood', 'runs': 1, 'balls': 6}, {'id': '323389', 'name': 'Mohammad Rizwan', 'runs': 4, 'balls': 7}]","[{'id': '326016', 'name': 'Bhuvneshwar Kumar', 'overs': 1.2, 'maidens': 0, 'runs': 2, 'wickets': 0}, {'id': '1125976', 'name': 'Arshdeep Singh', 'overs': 1, 'maidens': 0, 'runs': 5, 'wickets': 1}]",1666512977000,244921,14,7,1,Pakistan,PAK,,,,,,,,,,,,,,,,,,,
8,12040,3,2,2,"Kumar to Shan Masood, 2 runs","<b>booming inswinger</b>, somehow kept out. Full and straight, well watched by Masood. Digs it out with a wristy flick down to Shami at long leg",,,False,False,False,False,"[{'id': '233901', 'name': 'Shan Masood', 'runs': 3, 'balls': 7}, {'id': '323389', 'name': 'Mohammad Rizwan', 'runs': 4, 'balls': 7}]","[{'id': '326016', 'name': 'Bhuvneshwar Kumar', 'overs': 1.3, 'maidens': 0, 'runs': 4, 'wickets': 0}, {'id': '1125976', 'name': 'Arshdeep Singh', 'overs': 1, 'maidens': 0, 'runs': 5, 'wickets': 1}]",1666513024000,244921,15,9,1,Pakistan,PAK,,,,,,,,,,,,,,,,,,,
7,12050,4,2,0,"Kumar to Shan Masood, no run","struck on the pad again and another strangled appeal from Bhuvi, but pitched outside leg this time",,,False,False,False,False,"[{'id': '233901', 'name': 'Shan Masood', 'runs': 3, 'balls': 8}, {'id': '323389', 'name': 'Mohammad Rizwan', 'runs': 4, 'balls': 7}]","[{'id': '326016', 'name': 'Bhuvneshwar Kumar', 'overs': 1.4, 'maidens': 0, 'runs': 4, 'wickets': 0}, {'id': '1125976', 'name': 'Arshdeep Singh', 'overs': 1, 'maidens': 0, 'runs': 5, 'wickets': 1}]",1666513049000,244921,16,9,1,Pakistan,PAK,,,,,,,,,,,,,,,,,,,
6,12060,5,2,1,"Kumar to Shan Masood, 1 run","<b>Masood finally gets off strike</b> with a scampered single. Yorker length on fourth stump, inside edged into the leg side",,,False,False,False,False,"[{'id': '233901', 'name': 'Shan Masood', 'runs': 4, 'balls': 9}, {'id': '323389', 'name': 'Mohammad Rizwan', 'runs': 4, 'balls': 7}]","[{'id': '326016', 'name': 'Bhuvneshwar Kumar', 'overs': 1.5, 'maidens': 0, 'runs': 5, 'wickets': 0}, {'id': '1125976', 'name': 'Arshdeep Singh', 'overs': 1, 'maidens': 0, 'runs': 5, 'wickets': 1}]",1666513087000,244921,17,10,1,Pakistan,PAK,,,,,,,,,,,,,,,,,,,
5,12070,6,2,0,"Kumar to Mohammad Rizwan, no run","full and swinging into the pads. Angling down the leg side, and skids into Rizwan's boot",,,False,False,False,False,"[{'id': '323389', 'name': 'Mohammad Rizwan', 'runs': 4, 'balls': 8}, {'id': '233901', 'name': 'Shan Masood', 'runs': 4, 'balls': 9}]","[{'id': '326016', 'name': 'Bhuvneshwar Kumar', 'overs': 2, 'maidens': 0, 'runs': 5, 'wickets': 0}, {'id': '1125976', 'name': 'Arshdeep Singh', 'overs': 1, 'maidens': 0, 'runs': 5, 'wickets': 1}]",1666513128000,244921,18,10,1,Pakistan,PAK,False,4.0,0.0,10.0,1.0,3.33,0.0,"[{'id': '323389', 'name': 'Mohammad Rizwan', 'runs': 4, 'balls': 8}, {'id': '233901', 'name': 'Shan Masood', 'runs': 4, 'balls': 9}]","[{'id': '326016', 'name': 'Bhuvneshwar Kumar', 'overs': 2, 'maidens': 0, 'runs': 5, 'wickets': 0}, {'id': '1125976', 'name': 'Arshdeep Singh', 'overs': 1, 'maidens': 0, 'runs': 5, 'wickets': 1}]",PAK,17.0,102.0,0.0,,,,,,
4,13010,1,3,4,"Arshdeep Singh to Shan Masood, FOUR","<b>clipped away fine</b>. 82mph/132kph, angling in and swinging down the leg side. A freebie on the pads, and Masood cashes in",,,False,False,False,True,"[{'id': '233901', 'name': 'Shan Masood', 'runs': 8, 'balls': 10}, {'id': '323389', 'name': 'Mohammad Rizwan', 'runs': 4, 'balls': 8}]","[{'id': '1125976', 'name': 'Arshdeep Singh', 'overs': 1.1, 'maidens': 0, 'runs': 9, 'wickets': 1}, {'id': '326016', 'name': 'Bhuvneshwar Kumar', 'overs': 2, 'maidens': 0, 'runs': 5, 'wickets': 0}]",1666513202000,244921,19,14,1,Pakistan,PAK,,,,,,,,,,,,,,,,,,,
